Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_float_NN,nn_418_640_172_ld_418_172_418,Gemm_Rocblas_-1140853695,0.0577453
GemmTunableOp_float_NN,nn_418_512_172_ld_418_172_418,Gemm_Rocblas_-1140853695,0.0460839
GemmTunableOp_float_NT,nt_1_250800_9_ld_1_250800_1,Default,0.14244
GemmTunableOp_float_TN,tn_768_170_128_ld_128_128_768,Gemm_Rocblas_-1140855729,0.0402681
GemmTunableOp_float_TN,tn_768_170_768_ld_768_768_768,Gemm_Rocblas_-1140855719,0.125505
GemmTunableOp_float_TN,tn_2048_170_768_ld_768_768_2048,Gemm_Rocblas_-1140855728,0.230703
GemmTunableOp_float_TN,tn_768_170_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855720,0.286685
GemmTunableOp_float_TN,tn_768_1_768_ld_768_130560_768,Gemm_Rocblas_-9,0.0389625
GemmTunableOp_float_TN,tn_512_170_768_ld_768_768_512,Gemm_Rocblas_-1140855734,0.0858655
GemmTunableOp_float_TN,tn_50_170_512_ld_512_512_50,Gemm_Rocblas_-1140855916,0.0244652
GemmTunableOp_float_NN,nn_401_640_170_ld_401_170_401,Gemm_Rocblas_-1140853677,0.0567511
GemmTunableOp_float_NN,nn_401_512_170_ld_401_170_401,Gemm_Rocblas_-1140853718,0.0449518
GemmTunableOp_float_NT,nt_1_240600_9_ld_1_240600_1,Gemm_Rocblas_-1140854916,0.13437
GemmTunableOp_float_TN,tn_768_202_128_ld_128_128_768,Gemm_Rocblas_-1140855909,0.0446744
GemmTunableOp_float_TN,tn_768_202_768_ld_768_768_768,Gemm_Rocblas_-1140855762,0.14584
GemmTunableOp_float_TN,tn_2048_202_768_ld_768_768_2048,Gemm_Rocblas_-1140855657,0.279389
GemmTunableOp_float_TN,tn_768_202_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855657,0.323425
GemmTunableOp_float_TN,tn_768_1_768_ld_768_155136_768,Gemm_Rocblas_-1140855873,0.0407771
GemmTunableOp_float_TN,tn_512_202_768_ld_768_768_512,Gemm_Rocblas_-1140855706,0.0953112
GemmTunableOp_float_TN,tn_50_202_512_ld_512_512_50,Gemm_Rocblas_-1140855902,0.0242672
GemmTunableOp_float_NN,nn_440_640_202_ld_440_202_440,Gemm_Rocblas_-1140853676,0.0640733
GemmTunableOp_float_NN,nn_440_512_202_ld_440_202_440,Gemm_Rocblas_-1140853676,0.0530129
GemmTunableOp_float_NT,nt_1_264000_9_ld_1_264000_1,Gemm_Rocblas_-9,0.159566
GemmTunableOp_float_NN,nn_537_640_282_ld_537_282_537,Gemm_Rocblas_-1140853872,0.0932714
GemmTunableOp_float_NN,nn_537_512_282_ld_537_282_537,Gemm_Rocblas_-1140853867,0.072883
GemmTunableOp_float_NT,nt_1_322200_9_ld_1_322200_1,Default,0.18634
GemmTunableOp_float_TN,tn_768_219_128_ld_128_128_768,Gemm_Rocblas_-1140855707,0.0470501
